type,title,impact,action,status,owner
Gargalo,Instabilidade no WhatsApp,Bloqueios interrompem prospecção e follow-up; leads esfriam antes do contato,Implantar ferramenta oficial via API WhatsApp (Octadesk),Planejado,Comercial
Gargalo,Operação pouco escalável,Um colaborador e dois aparelhos limitam crescimento e criam sobrecarga,Ajustar distribuição do time e incluir outra pessoa no atendimento,Planejado,Comercial
Gargalo,Interrupções após bloqueios,Banimentos limitam novos envios por até 24h e prejudicam timing comercial,Centralizar conversas e reduzir dependência de celulares,Planejado,Comercial
Gargalo,Validação manual de CNPJ,Conferência manual deixa operação lenta e reduz eficiência,Reimplantar validação automática de CNPJ antes do contato,Planejado,Operações
Gargalo,Baixa conversão no topo do funil,"Apenas 17,6% demonstram interesse real; há leads não elegíveis e fora do perfil",Filtrar empresas inválidas e ajustar qualificação antes do atendimento,Planejado,Comercial
Gargalo,Denúncias de cadastrados,"23 denúncias entre abril maio e junho por spam falta de pagamento e não cumprimento de compromisso elevam risco reputacional",Criar protocolo de promessa pagamento aceite e resolução antes de ampliar disparos e mídia,Crítico,Comercial
Gargalo,Risco de BM Black no Meta,"Problemas na jornada geram denúncias e afetam anúncios; o Meta pode interpretar o padrão como operação de baixa qualidade",Reduzir mensagens similares revisar cadência comprovar entrega e alinhar criativos com a operação real,Crítico,Mídia + Comercial
Gargalo,Sazonalidade da Copa,"A Copa afetou atenção e resposta do público reduzindo rendimento das campanhas e velocidade de conversão",Separar análise de mídia por período de jogo e ajustar janela de cobrança de performance,Monitorar,Mídia
Gargalo,Jornada e tempo de resposta,"Demora no contato e falta de clareza sobre próximos passos aumentam perda de timing e insatisfação do lead",Implantar SLA real de primeiro contato em até 5 minutos com dono fila e alerta de atraso,Crítico,Comercial
Ação,SLA de primeiro contato,Contato rápido reduz esfriamento e aumenta chance de resposta,Automatizar primeiro contato em até 5 minutos com mensagens personalizadas,Planejado,Comercial
Ação,Régua de follow-up,Recupera leads que não respondem no primeiro contato,Programar follow-up em D+1 D+3 e D+7,Planejado,Comercial
Ação,Reposicionamento do projeto,"Tráfego pago não muda o jogo se apresentação promessa e execução não transmitirem confiança",Reformular narrativa do anúncio e do atendimento com critérios prazos e compromisso operacional claros,Prioridade,Direção + Comercial
